,Code,Code.1,County,Metropolitan,Statistical,region name
1567,41980,72007,Aguas,Buenas,"Municipio,","Aguas Buenas Municipio,"
1568,41980,72009,Aibonito,"Municipio,",PR,"Aibonito Municipio, PR"
1569,41980,72013,Arecibo,"Municipio,",PR,"Arecibo Municipio, PR"
1570,41980,72017,Barceloneta,"Municipio,",PR,"Barceloneta Municipio, PR"
1571,41980,72019,Barranquitas,"Municipio,",PR,"Barranquitas Municipio, PR"
1572,41980,72021,BayamÛn,"Municipio,",PR,"BayamÛn Municipio, PR"
1573,41980,72025,Caguas,"Municipio,",PR,"Caguas Municipio, PR"
1574,41980,72027,Camuy,"Municipio,",PR,"Camuy Municipio, PR"
1575,41980,72029,CanÛvanas,"Municipio,",PR,"CanÛvanas Municipio, PR"
1576,41980,72031,Carolina,"Municipio,",PR,"Carolina Municipio, PR"
1577,41980,72033,CataÒo,"Municipio,",PR,"CataÒo Municipio, PR"
1578,41980,72035,Cayey,"Municipio,",PR,"Cayey Municipio, PR"
1579,41980,72039,Ciales,"Municipio,",PR,"Ciales Municipio, PR"
1580,41980,72041,Cidra,"Municipio,",PR,"Cidra Municipio, PR"
1581,41980,72045,ComerÌo,"Municipio,",PR,"ComerÌo Municipio, PR"
1582,41980,72047,Corozal,"Municipio,",PR,"Corozal Municipio, PR"
1583,41980,72051,Dorado,"Municipio,",PR,"Dorado Municipio, PR"
1584,41980,72054,Florida,"Municipio,",PR,"Florida Municipio, PR"
1585,41980,72061,Guaynabo,"Municipio,",PR,"Guaynabo Municipio, PR"
1586,41980,72063,Gurabo,"Municipio,",PR,"Gurabo Municipio, PR"
1587,41980,72065,Hatillo,"Municipio,",PR,"Hatillo Municipio, PR"
1588,41980,72069,Humacao,"Municipio,",PR,"Humacao Municipio, PR"
1589,41980,72077,Juncos,"Municipio,",PR,"Juncos Municipio, PR"
1590,41980,72085,Las,Piedras,"Municipio,","Las Piedras Municipio,"
1591,41980,72087,LoÌza,"Municipio,",PR,"LoÌza Municipio, PR"
1592,41980,72091,ManatÌ,"Municipio,",PR,"ManatÌ Municipio, PR"
1593,41980,72095,Maunabo,"Municipio,",PR,"Maunabo Municipio, PR"
1594,41980,72101,Morovis,"Municipio,",PR,"Morovis Municipio, PR"
1595,41980,72103,Naguabo,"Municipio,",PR,"Naguabo Municipio, PR"
1596,41980,72105,Naranjito,"Municipio,",PR,"Naranjito Municipio, PR"
1597,41980,72107,Orocovis,"Municipio,",PR,"Orocovis Municipio, PR"
1598,41980,72115,Quebradillas,"Municipio,",PR,"Quebradillas Municipio, PR"
1599,41980,72119,RÌo,Grande,"Municipio,","RÌo Grande Municipio,"
1600,41980,72127,San,Juan,"Municipio,","San Juan Municipio,"
1601,41980,72129,San,Lorenzo,"Municipio,","San Lorenzo Municipio,"
1602,41980,72135,Toa,Alta,"Municipio,","Toa Alta Municipio,"
1603,41980,72137,Toa,Baja,"Municipio,","Toa Baja Municipio,"
1604,41980,72139,Trujillo,Alto,"Municipio,","Trujillo Alto Municipio,"
1605,41980,72143,Vega,Alta,"Municipio,","Vega Alta Municipio,"
1606,41980,72145,Vega,Baja,"Municipio,","Vega Baja Municipio,"
1607,41980,72151,Yabucoa,"Municipio,",PR,"Yabucoa Municipio, PR"
1610,42020,6079,San,Luis,Obispo,San Luis Obispo
1613,42060,6083,Santa,Barbara,"County,","Santa Barbara County,"
1616,42100,6087,Santa,Cruz,"County,","Santa Cruz County,"
1619,42140,35049,Santa,Fe,"County,","Santa Fe County,"
1622,42220,6097,Sonoma,"County,",CA,"Sonoma County, CA"
1625,42340,13029,Bryan,"County,",GA,"Bryan County, GA"
1626,42340,13051,Chatham,"County,",GA,"Chatham County, GA"
1627,42340,13103,Effingham,"County,",GA,"Effingham County, GA"
1630,42540,42069,Lackawanna,"County,",PA,"Lackawanna County, PA"
1631,42540,42079,Luzerne,"County,",PA,"Luzerne County, PA"
1632,42540,42131,Wyoming,"County,",PA,"Wyoming County, PA"
1635,42660,42644,"Seattle-Bellevue-Everett,",WA,Metropolitan,"Seattle-Bellevue-Everett, WA Metropolitan"
1638,42660,45104,"Tacoma,",WA,Metropolitan,"Tacoma, WA Metropolitan"
1642,42680,12061,Indian,River,"County,","Indian River County,"
1645,43100,55117,Sheboygan,"County,",WI,"Sheboygan County, WI"
1648,43300,48181,Grayson,"County,",TX,"Grayson County, TX"
1651,43340,22015,Bossier,"Parish,",LA,"Bossier Parish, LA"
1652,43340,22017,Caddo,"Parish,",LA,"Caddo Parish, LA"
1653,43340,22031,De,Soto,"Parish,","De Soto Parish,"
1656,43580,19193,Woodbury,"County,",IA,"Woodbury County, IA"
1657,43580,31043,Dakota,"County,",NE,"Dakota County, NE"
1658,43580,31051,Dixon,"County,",NE,"Dixon County, NE"
1659,43580,46127,Union,"County,",SD,"Union County, SD"
1662,43620,46083,Lincoln,"County,",SD,"Lincoln County, SD"
1663,43620,46087,McCook,"County,",SD,"McCook County, SD"
1664,43620,46099,Minnehaha,"County,",SD,"Minnehaha County, SD"
1665,43620,46125,Turner,"County,",SD,"Turner County, SD"
1668,43780,18141,St.,Joseph,"County,","St. Joseph County,"
1669,43780,26027,Cass,"County,",MI,"Cass County, MI"
1672,43900,45083,Spartanburg,"County,",SC,"Spartanburg County, SC"
1675,44060,53063,Spokane,"County,",WA,"Spokane County, WA"
1678,44100,17129,Menard,"County,",IL,"Menard County, IL"
1679,44100,17167,Sangamon,"County,",IL,"Sangamon County, IL"
1682,44140,25011,Franklin,"County,",MA,"Franklin County, MA"
1683,44140,25013,Hampden,"County,",MA,"Hampden County, MA"
1684,44140,25015,Hampshire,"County,",MA,"Hampshire County, MA"
1687,44180,29043,Christian,"County,",MO,"Christian County, MO"
1688,44180,29059,Dallas,"County,",MO,"Dallas County, MO"
1689,44180,29077,Greene,"County,",MO,"Greene County, MO"
1690,44180,29167,Polk,"County,",MO,"Polk County, MO"
1691,44180,29225,Webster,"County,",MO,"Webster County, MO"
1694,44220,39023,Clark,"County,",OH,"Clark County, OH"
1697,44300,42027,Centre,"County,",PA,"Centre County, PA"
1700,44600,39081,Jefferson,"County,",OH,"Jefferson County, OH"
1701,44600,54009,Brooke,"County,",WV,"Brooke County, WV"
1702,44600,54029,Hancock,"County,",WV,"Hancock County, WV"
1705,44700,6077,San,Joaquin,"County,","San Joaquin County,"
1708,44940,45085,Sumter,"County,",SC,"Sumter County, SC"
1711,45060,36053,Madison,"County,",NY,"Madison County, NY"
1712,45060,36067,Onondaga,"County,",NY,"Onondaga County, NY"
1713,45060,36075,Oswego,"County,",NY,"Oswego County, NY"
1716,45220,12039,Gadsden,"County,",FL,"Gadsden County, FL"
1717,45220,12065,Jefferson,"County,",FL,"Jefferson County, FL"
1718,45220,12073,Leon,"County,",FL,"Leon County, FL"
1719,45220,12129,Wakulla,"County,",FL,"Wakulla County, FL"
1722,45300,12053,Hernando,"County,",FL,"Hernando County, FL"
1723,45300,12057,Hillsborough,"County,",FL,"Hillsborough County, FL"
1724,45300,12101,Pasco,"County,",FL,"Pasco County, FL"
1725,45300,12103,Pinellas,"County,",FL,"Pinellas County, FL"
1728,45460,18021,Clay,"County,",IN,"Clay County, IN"
1729,45460,18153,Sullivan,"County,",IN,"Sullivan County, IN"
1730,45460,18165,Vermillion,"County,",IN,"Vermillion County, IN"
1731,45460,18167,Vigo,"County,",IN,"Vigo County, IN"
1734,45500,5091,Miller,"County,",AR,"Miller County, AR"
1735,45500,48037,Bowie,"County,",TX,"Bowie County, TX"
1738,45780,39051,Fulton,"County,",OH,"Fulton County, OH"
1739,45780,39095,Lucas,"County,",OH,"Lucas County, OH"
1740,45780,39123,Ottawa,"County,",OH,"Ottawa County, OH"
1741,45780,39173,Wood,"County,",OH,"Wood County, OH"
1744,45820,20085,Jackson,"County,",KS,"Jackson County, KS"
1745,45820,20087,Jefferson,"County,",KS,"Jefferson County, KS"
1746,45820,20139,Osage,"County,",KS,"Osage County, KS"
1747,45820,20177,Shawnee,"County,",KS,"Shawnee County, KS"
1748,45820,20197,Wabaunsee,"County,",KS,"Wabaunsee County, KS"
1751,45940,34021,Mercer,"County,",NJ,"Mercer County, NJ"
1754,46060,4019,Pima,"County,",AZ,"Pima County, AZ"
1757,46140,40037,Creek,"County,",OK,"Creek County, OK"
1758,46140,40111,Okmulgee,"County,",OK,"Okmulgee County, OK"
1759,46140,40113,Osage,"County,",OK,"Osage County, OK"
1760,46140,40117,Pawnee,"County,",OK,"Pawnee County, OK"
1761,46140,40131,Rogers,"County,",OK,"Rogers County, OK"
1762,46140,40143,Tulsa,"County,",OK,"Tulsa County, OK"
1763,46140,40145,Wagoner,"County,",OK,"Wagoner County, OK"
1766,46220,1063,Greene,"County,",AL,"Greene County, AL"
1767,46220,1065,Hale,"County,",AL,"Hale County, AL"
1768,46220,1125,Tuscaloosa,"County,",AL,"Tuscaloosa County, AL"
1771,46340,48423,Smith,"County,",TX,"Smith County, TX"
1774,46540,36043,Herkimer,"County,",NY,"Herkimer County, NY"
1775,46540,36065,Oneida,"County,",NY,"Oneida County, NY"
1778,46660,13027,Brooks,"County,",GA,"Brooks County, GA"
1779,46660,13101,Echols,"County,",GA,"Echols County, GA"
1780,46660,13173,Lanier,"County,",GA,"Lanier County, GA"
1781,46660,13185,Lowndes,"County,",GA,"Lowndes County, GA"
1784,46700,6095,Solano,"County,",CA,"Solano County, CA"
1787,47020,48057,Calhoun,"County,",TX,"Calhoun County, TX"
1788,47020,48175,Goliad,"County,",TX,"Goliad County, TX"
1789,47020,48469,Victoria,"County,",TX,"Victoria County, TX"
1792,47220,34011,Cumberland,"County,",NJ,"Cumberland County, NJ"
1795,47260,37053,Currituck,"County,",NC,"Currituck County, NC"
1796,47260,51073,Gloucester,"County,",VA,"Gloucester County, VA"
1797,47260,51093,Isle,of,Wight,Isle of Wight
1798,47260,51095,James,City,"County,","James City County,"
1799,47260,51115,Mathews,"County,",VA,"Mathews County, VA"
1800,47260,51181,Surry,"County,",VA,"Surry County, VA"
1801,47260,51199,York,"County,",VA,"York County, VA"
1802,47260,51550,Chesapeake,"city,",VA,"Chesapeake city, VA"
1803,47260,51650,Hampton,"city,",VA,"Hampton city, VA"
1804,47260,51700,Newport,News,"city,","Newport News city,"
1805,47260,51710,Norfolk,"city,",VA,"Norfolk city, VA"
1806,47260,51735,Poquoson,"city,",VA,"Poquoson city, VA"
1807,47260,51740,Portsmouth,"city,",VA,"Portsmouth city, VA"
1808,47260,51800,Suffolk,"city,",VA,"Suffolk city, VA"
1809,47260,51810,Virginia,Beach,"city,","Virginia Beach city,"
1810,47260,51830,Williamsburg,"city,",VA,"Williamsburg city, VA"
1813,47300,6107,Tulare,"County,",CA,"Tulare County, CA"
1816,47380,48309,McLennan,"County,",TX,"McLennan County, TX"
1819,47580,13153,Houston,"County,",GA,"Houston County, GA"
1822,47900,13644,"Bethesda-Rockville-Frederick,",MD,Metropolitan,"Bethesda-Rockville-Frederick, MD Metropolitan"
1825,47900,47894,"Washington-Arlington-Alexandria,",DC-VA-MD-WV,Metropolitan,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan"
1848,47940,19013,Black,Hawk,"County,","Black Hawk County,"
1849,47940,19017,Bremer,"County,",IA,"Bremer County, IA"
1850,47940,19075,Grundy,"County,",IA,"Grundy County, IA"
1853,48140,55073,Marathon,"County,",WI,"Marathon County, WI"
1856,48300,53007,Chelan,"County,",WA,"Chelan County, WA"
1857,48300,53017,Douglas,"County,",WA,"Douglas County, WA"
1860,48540,39013,Belmont,"County,",OH,"Belmont County, OH"
1861,48540,54051,Marshall,"County,",WV,"Marshall County, WV"
1862,48540,54069,Ohio,"County,",WV,"Ohio County, WV"
1865,48620,20015,Butler,"County,",KS,"Butler County, KS"
1866,48620,20079,Harvey,"County,",KS,"Harvey County, KS"
1867,48620,20173,Sedgwick,"County,",KS,"Sedgwick County, KS"
1868,48620,20191,Sumner,"County,",KS,"Sumner County, KS"
1871,48660,48009,Archer,"County,",TX,"Archer County, TX"
1872,48660,48077,Clay,"County,",TX,"Clay County, TX"
1873,48660,48485,Wichita,"County,",TX,"Wichita County, TX"
1876,48700,42081,Lycoming,"County,",PA,"Lycoming County, PA"
1879,48900,37019,Brunswick,"County,",NC,"Brunswick County, NC"
1880,48900,37129,New,Hanover,"County,","New Hanover County,"
1881,48900,37141,Pender,"County,",NC,"Pender County, NC"
1884,49020,51069,Frederick,"County,",VA,"Frederick County, VA"
1885,49020,51840,Winchester,"city,",VA,"Winchester city, VA"
1886,49020,54027,Hampshire,"County,",WV,"Hampshire County, WV"
1889,49180,37059,Davie,"County,",NC,"Davie County, NC"
1890,49180,37067,Forsyth,"County,",NC,"Forsyth County, NC"
1891,49180,37169,Stokes,"County,",NC,"Stokes County, NC"
1892,49180,37197,Yadkin,"County,",NC,"Yadkin County, NC"
1895,49340,25027,Worcester,"County,",MA,"Worcester County, MA"
1898,49420,53077,Yakima,"County,",WA,"Yakima County, WA"
1901,49500,72055,Gu·nica,"Municipio,",PR,"Gu·nica Municipio, PR"
1902,49500,72059,Guayanilla,"Municipio,",PR,"Guayanilla Municipio, PR"
1903,49500,72111,PeÒuelas,"Municipio,",PR,"PeÒuelas Municipio, PR"
1904,49500,72153,Yauco,"Municipio,",PR,"Yauco Municipio, PR"
1907,49620,42133,York,"County,",PA,"York County, PA"
1910,49660,39099,Mahoning,"County,",OH,"Mahoning County, OH"
1911,49660,39155,Trumbull,"County,",OH,"Trumbull County, OH"
1912,49660,42085,Mercer,"County,",PA,"Mercer County, PA"
1915,49700,6101,Sutter,"County,",CA,"Sutter County, CA"
1916,49700,6115,Yuba,"County,",CA,"Yuba County, CA"
1919,49740,4027,Yuma,"County,",AZ,"Yuma County, AZ"
